iter	Passed	Remaining
0	140	140108
1	142	71156
2	144	48140
3	146	36504
4	148	29531
5	151	25095
6	153	21787
7	155	19314
8	158	17490
9	161	15974
10	164	14784
11	166	13714
12	169	12899
13	172	12173
14	176	11562
15	178	10963
16	181	10466
17	183	10007
18	186	9615
19	189	9268
20	191	8935
21	194	8640
22	197	8376
23	199	8122
24	202	7881
25	204	7677
26	207	7490
27	210	7320
28	213	7145
29	216	6994
30	218	6844
31	221	6692
32	223	6539
33	224	6391
34	227	6260
35	228	6128
36	230	5998
37	231	5870
38	233	5747
39	234	5635
40	236	5521
41	237	5416
42	238	5308
43	239	5209
44	240	5109
45	241	5013
46	242	4922
47	243	4835
48	244	4753
49	246	4677
50	247	4602
51	248	4527
52	249	4459
53	250	4391
54	251	4324
55	252	4260
56	253	4200
57	254	4140
58	256	4086
59	257	4031
60	258	3974
61	259	3922
62	260	3871
63	261	3820
64	262	3771
65	263	3724
66	264	3677
67	264	3626
68	265	3586
69	267	3548
70	268	3506
71	268	3465
72	270	3429
73	270	3391
74	272	3355
75	273	3323
76	274	3291
77	275	3258
78	276	3226
79	277	3194
80	278	3162
81	279	3133
82	281	3106
83	282	3078
84	283	3047
85	284	3020
86	284	2989
87	285	2963
88	287	2941
89	288	2917
90	289	2895
91	290	2871
92	292	2848
93	293	2826
94	294	2806
95	295	2783
96	296	2761
97	297	2740
98	298	2719
99	300	2702
100	301	2682
101	301	2657
102	302	2636
103	303	2616
104	304	2595
105	305	2576
106	306	2559
107	307	2542
108	308	2523
109	309	2505
110	310	2488
111	311	2470
112	313	2458
113	314	2443
114	315	2427
115	316	2410
116	317	2393
117	318	2377
118	318	2359
119	320	2346
120	321	2336
121	322	2321
122	323	2303
123	323	2288
124	324	2273
125	325	2259
126	327	2248
127	327	2233
128	328	2220
129	329	2206
130	330	2193
131	331	2180
132	332	2167
133	333	2157
134	334	2145
135	335	2133
136	336	2121
137	337	2107
138	338	2095
139	339	2083
140	340	2073
141	341	2062
142	342	2051
143	343	2039
144	343	2028
145	345	2018
146	346	2009
147	347	1999
148	348	1989
149	349	1979
150	350	1969
151	351	1959
152	352	1949
153	353	1939
154	354	1930
155	355	1921
156	356	1912
157	357	1902
158	358	1895
159	359	1886
160	360	1879
161	361	1870
162	362	1862
163	363	1853
164	364	1844
165	365	1835
166	366	1826
167	367	1818
168	368	1810
169	369	1802
170	370	1795
171	371	1787
172	372	1779
173	373	1770
174	374	1763
175	375	1757
176	376	1749
177	377	1741
178	377	1733
179	378	1726
180	379	1716
181	380	1709
182	381	1704
183	382	1697
184	383	1690
185	384	1682
186	385	1675
187	386	1668
188	387	1662
189	388	1656
190	389	1649
191	390	1642
192	391	1635
193	391	1628
194	392	1621
195	393	1616
196	395	1611
197	396	1605
198	397	1599
199	398	1593
200	399	1586
201	399	1580
202	401	1574
203	402	1570
204	403	1565
205	404	1559
206	405	1553
207	406	1547
208	407	1541
209	408	1537
210	410	1534
211	411	1530
212	412	1525
213	413	1519
214	414	1515
215	416	1511
216	417	1505
217	418	1500
218	419	1494
219	419	1488
220	420	1483
221	422	1479
222	423	1474
223	424	1468
224	424	1463
225	425	1457
226	426	1452
227	427	1447
228	428	1443
229	429	1438
230	430	1434
231	431	1429
232	432	1423
233	433	1419
234	434	1415
235	436	1411
236	437	1407
237	437	1402
238	438	1397
239	439	1392
240	440	1387
241	441	1383
242	442	1379
243	443	1375
244	444	1371
245	446	1367
246	447	1362
247	447	1358
248	449	1355
249	450	1351
250	451	1347
251	452	1342
252	453	1338
253	454	1333
254	454	1329
255	456	1325
256	457	1322
257	458	1318
258	459	1314
259	460	1310
260	461	1306
261	462	1302
262	463	1298
263	464	1295
264	465	1291
265	466	1287
