iter	Passed	Remaining
0	143	143593
1	144	72268
2	145	48410
3	146	36475
4	147	29369
5	148	24631
6	149	21222
7	150	18684
8	151	16725
9	152	15128
10	154	13883
11	155	12827
12	163	12438
13	171	12077
14	173	11373
15	174	10742
16	175	10175
17	177	9676
18	178	9223
19	179	8804
20	180	8433
21	182	8094
22	183	7792
23	184	7509
24	185	7241
25	186	6992
26	187	6759
27	188	6549
28	189	6358
29	191	6176
30	192	6009
31	193	5848
32	194	5694
33	195	5553
34	196	5424
35	197	5295
36	198	5171
37	199	5053
38	200	4947
39	201	4843
40	203	4751
41	204	4663
42	205	4578
43	206	4491
44	207	4408
45	208	4326
46	209	4250
47	210	4181
48	212	4114
49	212	4045
50	213	3979
51	214	3918
52	215	3859
53	216	3801
54	218	3746
55	219	3701
56	229	3797
57	236	3847
58	238	3807
59	240	3767
60	242	3730
61	244	3692
62	245	3650
63	247	3612
64	248	3575
65	250	3538
66	251	3502
67	252	3465
68	254	3436
69	256	3405
70	257	3371
71	259	3338
72	260	3311
73	262	3286
74	264	3259
75	265	3230
76	267	3204
77	269	3179
78	270	3153
79	271	3125
80	273	3100
81	274	3076
82	275	3044
83	277	3024
84	279	3006
85	280	2983
86	282	2961
87	283	2942
88	284	2917
89	285	2890
90	287	2867
91	287	2842
92	289	2820
93	290	2795
94	291	2774
95	292	2753
96	293	2733
97	294	2709
98	295	2686
99	296	2664
100	296	2641
101	297	2619
102	298	2600
103	301	2598
104	310	2648
105	318	2683
106	319	2666
107	321	2652
108	322	2638
109	324	2626
110	326	2612
111	327	2598
112	329	2588
113	331	2574
114	332	2560
115	334	2548
116	335	2532
117	337	2521
118	338	2508
119	340	2495
120	341	2481
121	343	2469
122	346	2474
123	348	2462
124	350	2451
125	352	2446
126	354	2436
127	355	2424
128	357	2412
129	358	2401
130	360	2390
131	361	2378
132	363	2366
133	363	2352
134	364	2338
135	366	2325
136	367	2312
137	368	2299
138	369	2286
139	369	2272
140	370	2259
141	371	2244
142	372	2234
143	374	2223
144	379	2236
145	392	2293
146	393	2282
147	394	2272
148	396	2265
149	397	2255
150	399	2245
151	400	2234
152	402	2225
153	403	2216
154	404	2207
155	406	2196
156	407	2186
157	408	2175
158	409	2165
159	410	2155
160	411	2143
161	412	2133
162	413	2125
163	415	2115
164	416	2105
165	417	2097
166	418	2088
167	419	2079
168	420	2069
169	421	2059
170	422	2050
171	424	2042
172	425	2033
173	426	2025
174	427	2016
175	428	2007
176	429	1998
177	431	1991
178	432	1984
179	433	1976
180	435	1969
181	436	1960
182	437	1952
183	438	1944
184	439	1936
185	440	1928
186	441	1921
187	451	1949
188	460	1977
189	462	1970
190	463	1962
191	464	1954
192	465	1946
193	466	1938
194	468	1932
195	469	1925
196	471	1920
197	472	1913
198	473	1905
199	474	1897
200	475	1889
201	476	1883
202	478	1877
203	479	1869
204	480	1862
205	481	1855
206	482	1847
207	483	1840
208	484	1834
209	485	1827
210	486	1820
211	487	1812
212	488	1805
213	489	1798
214	490	1790
215	492	1786
216	494	1782
217	495	1776
218	496	1769
219	497	1762
220	498	1756
221	499	1751
222	500	1744
223	502	1739
224	503	1732
225	504	1726
226	505	1720
227	506	1714
228	507	1708
229	508	1702
230	509	1695
231	510	1688
232	511	1682
233	512	1676
234	513	1671
235	515	1668
236	517	1664
237	518	1660
238	519	1655
239	521	1651
240	523	1647
241	524	1642
242	525	1638
243	527	1633
244	528	1628
245	530	1624
246	531	1620
247	533	1616
248	534	1611
249	535	1607
250	537	1603
251	538	1599
252	540	1595
253	542	1592
254	543	1587
255	545	1584
256	547	1581
257	548	1578
258	550	1574
259	552	1571
260	553	1567
261	554	1563
262	556	1558
263	557	1554
264	558	1550
265	560	1547
266	561	1542
267	563	1538
268	564	1534
269	565	1530
270	567	1526
271	569	1523
272	570	1519
273	572	1516
274	573	1511
275	574	1508
276	576	1504
277	577	1500
278	578	1495
279	579	1490
280	580	1485
281	581	1480
282	582	1476
283	583	1471
284	584	1467
285	585	1462
286	586	1457
287	587	1452
288	588	1447
289	589	1443
290	590	1438
291	596	1445
292	606	1462
293	609	1462
294	610	1458
295	611	1453
296	612	1450
297	613	1445
298	614	1441
299	615	1436
300	616	1431
301	617	1427
302	618	1422
303	619	1418
304	620	1414
305	621	1410
306	622	1405
307	623	1401
308	624	1396
309	625	1392
310	626	1388
311	627	1384
312	628	1379
313	629	1375
314	630	1371
315	631	1366
316	632	1362
317	632	1357
318	633	1353
319	635	1349
320	635	1345
321	636	1341
322	637	1336
323	638	1332
324	639	1329
325	641	1325
326	642	1321
327	643	1317
328	644	1313
329	645	1309
330	646	1305
331	646	1301
332	647	1297
333	648	1293
334	649	1289
335	650	1286
336	651	1282
337	652	1277
338	653	1274
339	654	1270
340	655	1265
341	656	1262
342	657	1258
343	657	1254
344	664	1262
345	676	1279
346	677	1275
347	678	1271
348	679	1267
349	680	1264
350	682	1262
351	684	1259
352	685	1255
353	686	1252
354	687	1249
355	689	1246
356	690	1243
357	691	1240
358	693	1237
359	694	1234
360	695	1231
361	697	1228
362	698	1225
363	699	1222
364	701	1219
365	702	1217
366	704	1214
367	706	1213
368	707	1210
369	708	1207
370	710	1204
371	712	1202
372	713	1199
373	715	1197
374	716	1194
375	718	1191
376	719	1189
377	721	1186
378	722	1183
379	723	1180
380	725	1177
381	726	1175
382	727	1172
383	729	1169
384	730	1167
385	732	1164
386	733	1161
387	734	1159
388	736	1156
389	737	1153
390	739	1151
391	741	1149
392	742	1147
393	744	1144
394	745	1141
395	746	1138
396	747	1135
397	748	1132
398	749	1129
399	750	1125
400	751	1122
401	752	1119
402	753	1115
403	754	1112
404	755	1109
405	756	1106
406	757	1103
407	758	1100
408	759	1097
409	760	1094
410	762	1092
411	764	1090
412	765	1088
413	766	1085
414	768	1082
415	769	1080
416	771	1078
417	772	1075
418	773	1073
419	775	1070
420	776	1068
421	778	1065
422	779	1063
423	781	1061
424	782	1058
425	783	1056
426	785	1053
427	787	1052
428	788	1049
429	790	1047
430	791	1044
431	793	1043
432	794	1040
433	796	1039
434	798	1036
435	799	1034
436	800	1031
437	802	1029
438	803	1026
439	804	1024
440	805	1021
441	807	1019
442	808	1016
443	810	1014
444	811	1012
445	813	1009
446	814	1007
447	816	1005
448	817	1003
449	819	1001
450	820	998
451	821	996
452	823	993
453	824	991
454	825	988
455	826	985
456	827	982
457	828	979
458	829	977
459	830	974
460	831	971
461	832	969
462	833	966
463	833	963
464	834	960
465	835	957
466	836	954
467	837	951
468	838	948
469	840	947
470	847	952
471	855	957
472	857	954
473	858	952
474	859	949
475	860	946
476	861	944
477	862	941
478	863	938
479	864	936
480	865	933
481	865	930
482	866	927
483	867	925
484	868	922
485	869	919
486	870	916
487	871	913
488	871	911
489	872	908
490	873	905
491	874	902
492	875	900
493	876	898
494	877	895
495	878	892
496	879	890
497	880	887
498	881	884
499	881	881
500	882	879
501	883	876
502	884	874
503	885	871
504	886	868
505	887	866
506	888	863
507	889	861
508	890	858
509	891	856
510	892	853
511	893	851
512	893	848
513	894	846
514	895	843
515	896	840
516	897	838
517	898	835
518	898	833
519	899	830
520	900	828
521	901	825
522	902	823
523	903	820
524	904	818
525	905	815
526	907	814
527	914	817
528	922	821
529	924	819
530	924	816
531	925	814
532	926	811
533	927	809
534	928	807
535	929	804
536	930	802
537	931	799
538	932	797
539	933	794
540	934	792
541	935	790
542	936	787
543	937	785
544	938	783
545	939	780
546	939	778
547	940	775
548	941	773
549	942	771
550	943	768
551	944	766
552	945	764
553	946	762
554	947	759
555	948	757
556	949	755
557	950	752
558	951	750
559	952	748
560	953	745
561	953	743
562	954	741
563	955	738
564	956	736
565	957	734
566	958	732
567	959	729
568	960	727
569	961	725
570	962	722
571	963	720
572	964	718
573	965	716
574	966	714
575	966	711
576	967	709
577	968	707
578	969	704
579	970	702
580	970	700
581	971	698
582	972	695
583	974	693
584	974	691
585	975	689
586	976	686
587	976	684
588	977	682
589	978	679
590	978	677
591	979	675
592	980	673
593	981	670
594	982	668
595	983	666
596	984	664
597	985	662
598	987	660
599	988	659
600	989	657
601	991	655
602	992	653
603	993	651
604	994	649
605	996	647
606	997	645
607	999	644
608	1000	642
609	1001	640
610	1003	638
611	1004	636
612	1005	635
613	1007	633
614	1008	631
615	1010	629
616	1011	628
617	1013	626
618	1014	624
619	1015	622
620	1017	620
621	1019	619
622	1020	617
623	1021	615
624	1022	613
625	1023	611
626	1025	610
627	1027	608
628	1028	606
629	1030	605
630	1031	603
631	1033	601
632	1034	599
633	1035	598
634	1037	596
635	1038	594
636	1039	592
637	1041	590
638	1042	589
639	1043	587
640	1045	585
641	1046	583
642	1047	581
643	1048	579
644	1050	577
645	1051	575
646	1052	573
647	1052	571
648	1053	569
649	1054	568
650	1055	566
651	1056	564
652	1057	562
653	1058	559
654	1059	557
655	1060	555
656	1060	553
657	1061	551
658	1061	549
659	1062	547
660	1063	545
661	1064	543
662	1064	541
663	1065	539
664	1066	537
665	1066	534
666	1067	532
667	1068	530
668	1068	528
669	1069	526
670	1070	524
671	1070	522
672	1075	522
673	1082	523
674	1089	524
675	1091	523
676	1093	521
677	1094	520
678	1096	518
679	1097	516
680	1099	514
681	1100	513
682	1102	511
683	1103	509
684	1104	507
685	1106	506
686	1108	504
687	1109	503
688	1110	501
689	1112	499
690	1113	497
691	1115	496
692	1116	494
693	1118	493
694	1120	491
695	1121	489
696	1122	487
697	1124	486
698	1125	484
699	1127	483
700	1128	481
701	1130	479
702	1131	478
703	1133	476
704	1134	474
705	1135	472
706	1136	470
707	1137	469
708	1138	467
709	1139	465
710	1140	463
711	1141	461
712	1142	459
713	1142	457
714	1143	455
715	1144	454
716	1145	452
717	1147	450
718	1148	448
719	1149	446
720	1150	445
721	1151	443
722	1153	441
723	1154	440
724	1156	438
725	1157	436
726	1158	435
727	1159	433
728	1161	431
729	1162	430
730	1163	428
731	1164	426
732	1165	424
733	1166	422
734	1168	421
735	1169	419
736	1170	417
737	1172	416
738	1173	414
739	1175	412
740	1176	411
741	1178	409
742	1179	407
743	1180	406
744	1181	404
745	1183	402
746	1184	401
747	1186	399
748	1187	397
749	1188	396
750	1190	394
751	1191	392
752	1193	391
753	1194	389
754	1195	388
755	1197	386
756	1198	384
757	1200	383
758	1201	381
759	1202	379
760	1204	378
761	1205	376
762	1207	374
763	1208	373
764	1209	371
765	1211	369
766	1212	368
767	1213	366
768	1214	364
769	1216	363
770	1217	361
771	1218	359
772	1218	357
773	1219	356
774	1220	354
775	1221	352
776	1222	350
777	1223	349
778	1224	347
779	1224	345
780	1225	343
781	1226	341
782	1226	340
783	1227	338
784	1228	336
785	1229	334
